description,category
rented a car for the week done this month this month today done,transport
groccery shopping today this month done cleared this month done,food
Flight ticket Bangalore cleared cleared cleared,travel
shoping this month today,shopping
client entertainment travel done this month,travel
software plan this month this month,subscriptions
pharmcy today,healthcare
Commercial space rent,rent
Commercial space rent today today,rent
Vi mobile bill done cleared this month,utilities
workshop done this month cleared done done,education
office water purifier AMC today cleared today,utilities
weekly vegetable haul done done today cleared done,food
medicine done this month,healthcare
Inventory restock done done,raw_material
bulk order for the busy season this month,raw_material
App project payment done,salary
breakfast at the station done cleared done,food
lunch bahar kiya,food
wifi router plan renewed cleared today cleared done,utilities
Jio Fiber broadband done done,utilities
ordered for the night shift this month today done cleared done,food
flipkart done this month,shopping
Diagnostic lab test done,healthcare
Toll plaza charge done cleared today,transport
books,education
course kiya online done,education
nashte mein poha banana ke liye ingredients cleared,food
groceries cleared today this month,food
trade fair attendance today this month,travel
Swiggy dinner order done this month,food
breakfast,food
movie done today,entertainment
Coursera subscription this month cleared cleared,education
prime today this month,entertainment
Amazon Prime renewal today done this month done,entertainment
kiraya this month,rent
Slack paid plan done this month,subscriptions
Printer cartridge cleared today today,shopping
paid for skill upgrade training today this month this month,education
lunch cleared cleared done,food
hotel,travel
AWS monthly bill this month done done,subscriptions
auto today this month,transport
fruits and vegetables from local vendor done,food
